stt,file_path,duration
345,D:\Video\502GA.mp4,4:13
349,D:\Video\507HD.mp4,5:36
347,D:\Video\504HD.mp4,4:49
351,D:\Video\509HB.mp4,4:18
356,D:\Video\516HC.mp4,3:42
355,D:\Video\514HD_1.mp4,4:10
352,D:\Video\510HA.mp4,4:36
359,D:\Video\520HA.mp4,3:48
353,D:\Video\511HA.mp4,3:08
358,D:\Video\518HD.mp4,4:50
357,D:\Video\517HD.mp4,4:12
354,D:\Video\512HA.mp4,3:16
362,D:\Video\523DD.mp4,5:07
361,D:\Video\522HA.mp4,5:23
364,D:\Video\525HC.mp4,4:42
360,D:\Video\521HA.mp4,4:04
365,D:\Video\526HD.mp4,4:45
363,D:\Video\524DC (HV Nga).mp4,6:06
366,D:\Video\527HD.mp4,5:45
367,D:\Video\528HD.mp4,4:35
373,D:\Video\535HC.mp4,3:47
372,D:\Video\534GA.mp4,4:21
370,D:\Video\532DC.mp4,4:38
369,D:\Video\530DD.mp4,6:26
368,D:\Video\529HA.mp4,4:02
371,D:\Video\533DC.mp4,4:30
374,D:\Video\537HA.mp4,4:17
379,D:\Video\544HA.mp4,3:40
376,D:\Video\541GA.mp4,4:21
378,D:\Video\543HC.mp4,3:41
381,D:\Video\546HA.mp4,4:33
377,D:\Video\542HD.mp4,5:17
382,D:\Video\547HC.mp4,4:12
375,D:\Video\539DD_1.mp4,4:06
380,D:\Video\545HD.mp4,4:53
386,D:\Video\551FC.mp4,5:04
387,D:\Video\552FA.mp4,3:57
385,D:\Video\550FA.mp4,4:09
389,D:\Video\554HD_1.mp4,4:44
383,D:\Video\548HA.mp4,4:24
388,D:\Video\553DC.mp4,4:57
390,D:\Video\555DC.mp4,4:17
384,D:\Video\549FD.mp4,6:01
393,D:\Video\557FD.mp4,5:53
396,D:\Video\563HA.mp4,4:22
391,D:\Video\556FD_2 (2).mp4,4:07
392,D:\Video\556FD_2.mp4,4:07
397,D:\Video\564HC.mp4,4:50
395,D:\Video\562HD.mp4,5:00
394,D:\Video\558FD.mp4,4:50
398,D:\Video\565KD.mp4,6:06
400,D:\Video\567FA.mp4,4:44
399,D:\Video\566KD.mp4,6:08
403,D:\Video\631HC.mp4,4:00
404,D:\Video\632HC.mp4,4:41
401,D:\Video\571HB.mp4,5:52
402,D:\Video\630GB.mp4,4:00
405,D:\Video\633KD.mp4,6:34
406,D:\Video\634KA.mp4,4:54
409,D:\Video\637HD.mp4,4:58
408,D:\Video\636GA.mp4,3:50
410,D:\Video\638KD.mp4,5:19
407,D:\Video\635KD.mp4,6:06
411,D:\Video\639KC.mp4,4:07
413,D:\Video\641GC.mp4,4:37
412,D:\Video\640GB.mp4,3:14
414,D:\Video\642HB.mp4,5:27
417,D:\Video\645GD.mp4,4:02
419,D:\Video\647GB.mp4,3:25
415,D:\Video\643HB.mp4,4:40
418,D:\Video\646HB.mp4,4:48
420,D:\Video\648GB.mp4,4:26
421,D:\Video\649KB.mp4,4:37
416,D:\Video\644KB.mp4,4:17
422,D:\Video\650KD.mp4,5:44
424,D:\Video\652HD.mp4,7:18
426,D:\Video\654GD.mp4,4:56
427,D:\Video\655KD.mp4,6:34
423,D:\Video\651HD.mp4,4:22
425,D:\Video\653GD.mp4,5:32
429,D:\Video\657HB.mp4,6:04
428,D:\Video\656KB.mp4,5:19
431,D:\Video\659HD.mp4,5:28
430,D:\Video\658HB.mp4,4:44
434,D:\Video\662GD.mp4,5:23
435,D:\Video\663KD.mp4,6:34
436,D:\Video\664KD.mp4,5:00
432,D:\Video\660HB.mp4,5:08
433,D:\Video\661KB.mp4,7:07
437,D:\Video\665HB.mp4,6:10
438,D:\Video\666HD.mp4,5:03
440,D:\Video\668KB.mp4,5:03
441,D:\Video\669KB.mp4,5:42
442,D:\Video\670HD.mp4,5:23
443,D:\Video\671HB.mp4,5:07
439,D:\Video\667KB.mp4,5:36
444,D:\Video\672HE sua lai.mp4,7:00
445,D:\Video\673GB.mp4,5:52
446,D:\Video\674GD.mp4,5:28
448,D:\Video\676KB.mp4,5:48
450,D:\Video\678GD.mp4,5:01
447,D:\Video\675GG.mp4,3:59
449,D:\Video\677KB.mp4,4:56
451,D:\Video\679GB.mp4,5:00
452,D:\Video\680HS.mp4,5:18
453,D:\Video\681HS.mp4,5:47
454,D:\Video\682KC-Hiếu.mp4,4:40
455,D:\Video\683KA.mp4,4:18
457,D:\Video\685HA.mp4,4:36
456,D:\Video\684HS.mp4,4:27
458,D:\Video\686GS.mp4,4:51
459,D:\Video\687GA.mp4,5:31
460,D:\Video\687GB.mp4,5:31
461,D:\Video\688K Sơn.mp4,5:42
465,D:\Video\692H Sơn.mp4,5:03
