stt,file_path,duration
246,F:\Thomas\K1-44-v94_new - duyệt.mp4,6:52
244,F:\Thomas\K1-42-v90 - duyệt.mp4,8:55
250,F:\Thomas\K1-48-v108 - duyệt.mp4,5:43
247,F:\Thomas\K1-45-v99 - duyệt.mp4,9:11
248,F:\Thomas\K1-46-v100_new - duyệt.mp4,6:49
249,F:\Thomas\K1-47-v101 - duyệt.mp4,7:06
251,F:\Thomas\K1-49-v111 - duyệt.mp4,5:14
252,F:\Thomas\K1-50-v109 - duyệt.mp4,6:47
254,F:\Thomas\K1-58-v123 - duyệt.mp4,6:32
253,F:\Thomas\K1-51-v110 - duyệt.mp4,8:21
255,F:\Thomas\K1-61-v122 - duyệt.mp4,4:55
257,F:\Thomas\K1-63-v135 - duyệt.mp4,5:29
256,F:\Thomas\K1-62-v134 - duyệt.mp4,5:33
258,F:\Thomas\K1-64-v140 - duyệt.mp4,5:15
261,F:\Thomas\K2-25-v76 - duyệt.mp4,8:42
260,F:\Thomas\K2-24-v75_new - duyệt.mp4,4:53
262,F:\Thomas\K2-26-v79 - duyệt.mp4,7:13
259,F:\Thomas\K1-65-v141 - duyệt.mp4,6:30
263,F:\Thomas\K2-27-v85_New3 - duyệt.mp4,8:53
266,F:\Thomas\K2-30-v92 - duyệt.mp4,7:29
265,F:\Thomas\K2-29-v86 - duyệt.mp4,9:45
264,F:\Thomas\K2-28-v84 - duyệt.mp4,7:29
269,F:\Thomas\K2-33-v96 - duyệt.mp4,4:18
267,F:\Thomas\K2-31-v93 - duyệt.mp4,6:32
268,F:\Thomas\K2-32-v95 - duyệt.mp4,6:48
270,F:\Thomas\k2-34-v97 - duyệt.mp4,6:14
271,F:\Thomas\K2-35-v98 - duyệt.mp4,7:14
275,F:\Thomas\k2-40-V106 - duyệt.mp4,7:00
273,F:\Thomas\K2-38-v103 - duyệt.mp4,7:06
277,F:\Thomas\k2-46-v124 - duyệt.mp4,5:44
272,F:\Thomas\K2-37-v104 - duyệt.mp4,6:42
274,F:\Thomas\K2-39-v105 - duyệt.mp4,6:38
278,F:\Thomas\K2-47-v125 - duyệt.mp4,6:46
276,F:\Thomas\K2-41-V107 - duyệt.mp4,6:23
279,F:\Thomas\K2-53-v136 - duyệt.mp4,7:01
282,F:\Thomas\k2-56-v139 - duyệt.mp4,5:39
285,F:\Thomas\Unbox-Thomas-v41.mp4,7:27
280,F:\Thomas\K2-54-v137 - duyệt.mp4,6:08
284,F:\Thomas\Unbox-thomas-v40.mp4,6:34
286,F:\Thomas\unbox-v42_new - duyệt.mp4,6:23
283,F:\Thomas\K2-57-v142 - duyệt.mp4,5:55
281,F:\Thomas\K2-55-v138 - duyệt.mp4,6:39
287,F:\Thomas\v1 có nhạc nền.mp4 2.mp4,5:47
288,F:\Thomas\v10.mp4,3:50
289,F:\Thomas\v100 sua lai.mp4,6:43
290,F:\Thomas\v101 sua lai.mp4,6:56
292,F:\Thomas\v103.mp4,6:47
291,F:\Thomas\v102.mp4,6:00
294,F:\Thomas\v105.mp4,6:50
293,F:\Thomas\v104.mp4,6:08
295,F:\Thomas\V106 sửa.mp4,7:50
297,F:\Thomas\V108.mp4,6:39
299,F:\Thomas\v11.mp4,4:17
302,F:\Thomas\v12.mp4,4:46
296,F:\Thomas\V107 sửa.mp4,6:58
300,F:\Thomas\V110 sửa.mp4,7:22
