stt,file_path,duration
359,E:\Rainbow Number\Video\292GE - 336A.mp4,4:15
361,E:\Rainbow Number\Video\293GE - 340A sua lai 2.mp4,5:24
360,E:\Number B\Video\292KLD.mp4,7:04
362,E:\Number B\Video\293HLD.mp4,6:30
363,E:\Rainbow Number\Video\294GE - 341A.mp4,4:18
364,E:\Number B\Video\294HLD.mp4,6:13
365,E:\Number B\Video\295HLG.mp4,8:04
366,E:\Rainbow Number\Video\295KE - 327A.mp4,4:11
368,E:\Rainbow Number\Video\296KG.mp4,3:06
369,E:\Rainbow Number\Video\297KG.mp4,3:40
371,E:\Rainbow Number\Video\298HG.mp4,3:39
367,E:\Number B\Video\296HLG.mp4,6:19
370,E:\Number B\Video\297KLG.mp4,6:56
372,E:\Number B\Video\298KLG.mp4,5:36
373,E:\Number B\Video\299GLD.mp4,5:17
375,E:\Number TC\Video\29AF.mp4,5:44
378,E:\Rainbow Number\Video\300HE - 273A.mp4,4:47
377,E:\Number B\Video\300GLD.mp4,5:45
376,E:\Number TC\Video\2AE.mp4,8:23
374,E:\Rainbow Number\Video\299HG.mp4,4:11
379,E:\Number B\Video\301GLD.mp4,5:08
380,E:\Rainbow Number\Video\301KE - 369A.mp4,5:23
385,E:\Rainbow Number\Video\303KE - 356A.mp4,6:06
382,E:\Number B\Video\302GLG.mp4,7:00
381,E:\Rainbow Number\Video\302BHB.mp4,4:37
383,E:\Rainbow Number\Video\302KE - 370A.mp4,4:50
387,E:\Rainbow Number\Video\304KC.mp4,6:25
384,E:\Number B\Video\303HLG.mp4,4:38
386,E:\Number B\Video\304HLG.mp4,5:06
388,E:\Number B\Video\305GLG.mp4,7:06
391,E:\Rainbow Number\Video\306HE - 314A.mp4,3:53
390,E:\Number B\Video\306GLG.mp4,6:26
392,E:\Rainbow Number\Video\307HE - 324A.mp4,3:59
389,E:\Rainbow Number\Video\305HE - 343A.mp4,3:29
394,E:\Rainbow Number\Video\308HE - 323A sua lai.mp4,3:47
393,E:\Number B\Video\307KCG.mp4,4:53
395,E:\Rainbow Number\Video\308HE - 323A.mp4,3:49
397,E:\Number B\Video\308KCE.mp4,5:12
396,E:\Number B\Video\308KCE sua lai.mp4,5:12
398,E:\Rainbow Number\Video\309GE - 357A.mp4,7:29
400,E:\Number TC\Video\30AF.mp4,6:34
399,E:\Number B\Video\309KCE.mp4,6:11
