path,error,duration,bit_rate,frame_rate,resolution,format,format_profile,codec,scan_type,bit_depth,chroma_subsampling,aspect_ratio,video_size_MB,audio_codec,audio_bitrate,audio_sampling_rate,channels
H:\Number\Number 1.0\B\Đã up\213BHB\213BHB.mp4,,3 min 16 s,16.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,380 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\498HB\498HB_1.mp4,,4 min 25 s,54.3 Mb/s,100,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.68 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\208BHD\208BHD.mp4_Number_Ghep.mp4,,1 h 2 min,12.2 Mb/s,60,1920x1080,MPEG-4,Base Media,avc1,Progressive,8 bits,04:02:00,1.778,5.36 GiB,mp4a-40-2,199 kb/s,44.1 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\142BGC\142BGC.mp4,,7 min 37 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,875 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\65BC\65BC.mp4,,5 min 53 s,52.7 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.17 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\380KBD\380KBD.mp4,,4 min 43 s,10.8 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,364 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\635KD\635KD.mp4,,6 min 6 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,699 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\463KBE\463KBE.mp4,,4 min 16 s,16.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,494 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\Kids\V23 (kids)\V23.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\63BHA\63BHA.mp4,,5 min 15 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,603 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\692H\692H Sơn.mp4,,5 min 3 s,16.5 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,596 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\339BGC\339GBC.mp4,,4 min 33 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,558 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\287BGA\287BGA.mp4,,3 min 26 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,395 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
